Priority,Feature,Expected Behavior,Code Evidence,UI Evidence,Sync Evidence,Persistence Evidence,Test Evidence,Docs Evidence,Verdict,Gap,Recommended Remediation,Risk Level
P1,P1 retry queue,Retry pending snorkel transfers on reconnect,WatchSyncService flushPendingSnorkelingTransfers,N/A,userInfo fallback queue,SnorkelingSyncPendingTransfer persisted,SnorkelingSessionSyncInterruptedTransferTests,SNORKELING_OFFLINE_ONLINE QA PENDING,IMPLEMENTED,Failure not shown on session detail,R1-005 Surface sync errors in logbook detail,Medium
P1,P1 iOS logbook receives session,Merge imported session without duplication,IOSSnorkelingLogbookStore SnorkelingSessionSyncImportPolicy,Sessions list detail view,WatchSyncService import,dirdiving_ios_snorkeling_sessions.json,SnorkelingDuplicateIgnoredImportTests SnorkelingSessionGPSSyncTests,SNORKELING_P1_LOGBOOK_TRACK_QUALITY,IMPLEMENTED,Per-session sync source missing,R1-006 Show startMode/sync source on detail,Medium
P1,P1 track map in iOS,Render track segments and gaps on map,SnorkelingSessionMapPresentation IOSSnorkelingSessionMapView,Detail map section,N/A,Track points in session,SnorkelingLogbookTrackQualityPresentationTests IOSSnorkelingDashboardMapGapTests,SNORKELING_MAP_TYPE_SESSION_DETAIL_RENDERING QA PENDING,IMPLEMENTED,Physical map QA pending,R1 — manual QA,Low
P1,P1 marker display in iOS,Show markers on map and in list,SnorkelingMarkerLogbookPresentationPolicy IOSSnorkelingSessionDetailView,Markers section map pins,N/A,Markers in session JSON,SnorkelingMarkerLogbookPresentationTests,SNORKELING_P2_MARKERS_LOGBOOK QA PENDING,IMPLEMENTED,None,R1 — monitor,Low
P1,P1 battery presentation,Show battery on Watch ready panel,SnorkelingWatchRuntimeStore.updateBattery SnorkelingWatchReadyPresentationPolicy,readyGrid battery cell,N/A,N/A runtime only,SnorkelingWatchBatteryPresentationTests,SNORKELING_P1_WATCH_BATTERY_PRESENTATION QA PENDING,PARTIAL,No runtime store test for WKInterfaceDevice read,R1-003 Add SnorkelingWatchRuntimeStore battery test,Medium
P1,P1 sync status visible,User sees route and session sync state,Dashboard sync cards planner transfer section,IOSSnorkelingDashboardView IOSSnorkelingRoutePlannerView,Both sync pipelines,N/A,SnorkelingWatchSyncStatusPresentationTests SnorkelingRouteSyncStatusPresentationTests,SNORKELING_IOS_WATCH_SYNC QA PENDING,IMPLEMENTED,Aggregate only not per-session,R1-006 Per-session sync label,Medium
P2,P2 Return to Entry primary action,Return is visually primary navigation action,SnorkelingWatchReturnPrimaryActionPolicy SnorkelingView.actionRow,First full-width return button,N/A,N/A,SnorkelingWatchReturnPrimaryActionTests,SNORKELING_P2_RETURN_PRIMARY_ACTION QA PENDING,PARTIAL,returnIsPrimaryAction flag unused in view,R2-001 Wire returnIsPrimaryAction to layout/styling,Medium
P2,P2 iOS max duration config,Configure max session duration in iOS settings,IOSSnorkelingSettingsContent SnorkelingCompanionSettings,Settings sliders/pickers,Embedded in route metadata on send,dirdiving.settings.snorkeling.v1,SnorkelingOperationalSettingsPersistenceTests,SNORKELING_P2_OPERATIONAL_SETTINGS_IOS QA PENDING,IMPLEMENTED,Does not update Watch without re-send,R2-002 Settings push without full route resend,Medium
P2,P2 iOS max distance config,Configure max distance from entry,Same as duration,Settings UI,Route metadata sync,Settings store,SnorkelingOperationalSettingsRouteSyncTests,SNORKELING_P2_OPERATIONAL_SETTINGS_IOS,IMPLEMENTED,Same re-send gap,R2-002,Medium
P2,P2 planned return alert config,Configure return alert policy,IOSSnorkelingSettingsContent return alert picker,Settings UI,Route metadata,Settings store,SnorkelingReturnAlertPolicyTests,SNORKELING_WATCH_RETURN_ALERT QA PENDING,IMPLEMENTED,None,R2 — monitor,Low
P2,P2 off-route threshold config,Configurable off-route distance,SnorkelingOperationalThresholds settings mapping,Settings UI,Route metadata to Watch,Settings store,SnorkelingOperationalSettingsRouteSyncTests,SNORKELING_WATCH_OFF_ROUTE_WARNING QA PENDING,IMPLEMENTED,None,R2 — monitor,Low
P2,P2 route summary on Watch,Compact route summary before start,SnorkelingWatchRouteSummaryPresentationPolicy,readyGrid routeCompactSummaryText,N/A,N/A,SnorkelingWatchRouteSummaryPresentationTests,SNORKELING_P2_ROUTE_SUMMARY_WATCH QA PENDING,IMPLEMENTED,No UI contract test,R2-005 Add ready panel UI contract test,Low
P2,P2 marker category UX,Category picker and enriched logbook rows,SnorkelingMarkerCaptureEngine SnorkelingView.saveMarkerPanel,Watch save marker + iOS detail,N/A,Markers in session,SnorkelingAlarmsMarkersHapticsMissionModeTests SnorkelingMarkerLogbookPresentationTests,SNORKELING_P2_MARKERS_LOGBOOK QA PENDING,IMPLEMENTED,Watch UI contract test missing,R2-004 Marker panel contract test,Low
P2,P2 marker GPS quality UX,Show GPS quality at marker save and in logbook,SnorkelingWatchRuntimeStore.markerQualityLabel SnorkelingMarkerLogbookPresentationPolicy,saveMarkerPanel markersSection,N/A,N/A,SnorkelingMarkerLogbookPresentationTests,SNORKELING_LOGBOOK_GPS_QUALITY QA PENDING,IMPLEMENTED,None,R2 — monitor,Low
P2,P2 route safety check,Validate route before send to Watch,SnorkelingRoutePlanValidator IOSSnorkelingRoutePlannerView.routeSafetySection,Planner safety card,N/A,N/A,SnorkelingRouteValidatorTests,SNORKELING_IOS_ROUTE_SAFETY_CHECK QA PENDING,IMPLEMENTED,Physical QA pending,R2 — manual QA,Low
P2,P2 logbook premium route detail,Rich session detail with route analytics,IOSSnorkelingSessionDetailView multiple sections,Detail view cards,N/A,Session + runtimeSummary,SnorkelingPlannedVsActualAnalyticsTests SnorkelingTrackQualityAnalyticsTests,SNORKELING_P2 docs,IMPLEMENTED,No single integration UI test,R2 — optional UI snapshot test,Low
P3,P3 micro-map Watch,Optional route preview alongside bearing ring,SnorkelingWatchMicroMapView SnorkelingWatchMicroMapPresentationPolicy,Nav and return panels in SnorkelingView,N/A,N/A,SnorkelingWatchMicroMapPresentationTests,SNORKELING_P3_WATCH_MICRO_MAP QA PENDING,IMPLEMENTED,Physical QA pending,R3 — manual micro-map QA,Low
P3,P3 GPX export,Export measured surface track as GPX,SnorkelingTrackGPXExportService IOSSnorkelingSessionExportService,Export view,N/A,N/A,SnorkelingTrackGPXExportTests IOSSnorkelingExportServiceE2ETests,SNORKELING_P2_GPX_EXPORT QA PENDING,IMPLEMENTED,None,R3 — monitor,Low
P3,P3 KML export,Export track as KML,SnorkelingTrackKMLExportService,Export view,N/A,N/A,SnorkelingTrackKMLExportTests,SNORKELING_EXPORT QA PENDING,IMPLEMENTED,None,R3 — monitor,Low
P3,P3 planned vs actual analysis,iOS compares planned route to actual track,SnorkelingPlannedVsActualAnalyticsPolicy,plannedVsActualSection detail map overlay,N/A,runtimeSummary + routePlans,SnorkelingPlannedVsActualAnalyticsTests,SNORKELING_P3_PLANNED_VS_ACTUAL QA PENDING,IMPLEMENTED,No deviation vector metric,R3-002 Optional deviation summary,Low
P3,P3 route adherence score,Single adherence score for route following,N/A partial metrics only,routeCompletedPercentage maxOffRoute in cards,N/A,runtimeSummary,SnorkelingOffRouteDetectorTests SnorkelingRouteProgressCalculatorTests,SNORKELING_P3 docs,MISSING,No composite score field,R3-002 Define adherence score policy (optional),Low
P3,P3 GPS quality analytics,Breakdown measured stale unavailable points,SnorkelingTrackQualityAnalyticsPolicy ActivityGPSLogbookPresentation,trackQualityAnalyticsSection gpsSection,N/A,Track points in session,SnorkelingTrackQualityAnalyticsTests SnorkelingLogbookTrackQualityPresentationTests,SNORKELING_P3_TRACK_QUALITY_ANALYTICS QA PENDING,IMPLEMENTED,None,R3 — monitor,Low
P3,P3 photo marker,iOS thumbnail for marker photo refs,SnorkelingMarker.photoReferenceID IOSSnorkelingSessionPhotoStore,Detail markers + photos sections,N/A,Photo files + session UUID refs,SnorkelingPhotoMarkerIntegrationTests,SNORKELING_P3_PHOTO_MARKERS QA PENDING,IMPLEMENTED,Watch capture deferred,R3 — document only (done),Low
P3,P3 heatmap,Density heatmap of track or markers,Only in ExperimentalFutureConceptsView ExplorationCenterView,N/A,N/A,N/A,N/A SNORKELING_ARCHITECTURE forbids,NOT_APPLICABLE,Out of Snorkeling scope by policy,R3-001 Do not implement unless product changes,Low
P3,P3 advanced share/export,GPX KML summary text share,SnorkelingSessionShareSummaryBuilder export services,IOSSnorkelingSessionExportView,N/A,N/A,SnorkelingExportPayloadTests IOSSnorkelingExportServiceE2ETests,SNORKELING_EXPORT QA PENDING,IMPLEMENTED,None,R3 — monitor,Low
