FilePath,FileName,DetectedNumericPrefix,DetectedAuditFamily,Version,RequiredBranch,TaskType,DeclaredOutputFiles,DeclaredExecutionOrder,AuditOnly,RemediationImplementation,PhysicalQARequired,ExternalQARequired,SelectionStatus
commands_for_cursor/7-DIR_DIVING_ACTIVITY_ARCHITECTURE_SETTINGS_LOGBOOK_AUDIT_V3.0.md,7-DIR_DIVING_ACTIVITY_ARCHITECTURE_SETTINGS_LOGBOOK_AUDIT_V3.0.md,7,Activity architecture Settings Logbooks,3.0,main,audit-only,"Docs/ACTIVITY_ARCHITECTURE_SETTINGS_LOGBOOK_AUDIT_CURRENT.md; Docs/ACTIVITY_FEATURE_OWNERSHIP_MATRIX_CURRENT.csv; Docs/ACTIVITY_SETTINGS_COHERENCE_MATRIX_CURRENT.csv; Docs/LOGBOOK_OWNERSHIP_ROUTING_MATRIX_CURRENT.csv",7,yes,no,yes,no,EXECUTED_CURRENT
commands_for_cursor/8-DIR_DIVING_SYNC_PERSISTENCE_SCHEMA_AUDIT_V3.0.md,8-DIR_DIVING_SYNC_PERSISTENCE_SCHEMA_AUDIT_V3.0.md,8,Sync persistence schema,3.0,main,audit-only,"Docs/MULTI_ACTIVITY_SYNC_PERSISTENCE_SCHEMA_AUDIT_CURRENT.md; Docs/SYNC_MESSAGE_NAMESPACE_MATRIX_CURRENT.csv; Docs/SCHEMA_MIGRATION_COMPATIBILITY_MATRIX_CURRENT.csv; Docs/BACKUP_RESTORE_ISOLATION_MATRIX_CURRENT.csv",8,yes,no,yes,no,EXECUTED_CURRENT
commands_for_cursor/9-DIR_DIVING_SECURITY_PRIVACY_TRUST_AUDIT_V3.0.md,9-DIR_DIVING_SECURITY_PRIVACY_TRUST_AUDIT_V3.0.md,9,Security privacy trust,3.0,main,audit-only,"Docs/SECURITY_PRIVACY_TRUST_AUDIT_CURRENT.md; Docs/THREAT_MODEL_CURRENT.md; Docs/PRIVACY_DATA_FLOW_MATRIX_CURRENT.csv; Docs/SECURITY_REMEDIATION_PLAN_CURRENT.md",9,yes,no,yes,no,EXECUTED_CURRENT
commands_for_cursor/10-DIR_DIVING_PERFORMANCE_CONCURRENCY_BATTERY_AUDIT_V3.0.md,10-DIR_DIVING_PERFORMANCE_CONCURRENCY_BATTERY_AUDIT_V3.0.md,10,Performance concurrency battery,3.0,main,audit-only,"Docs/PERFORMANCE_CONCURRENCY_BATTERY_AUDIT_CURRENT.md; Docs/PERFORMANCE_BUDGET_MATRIX_CURRENT.csv; Docs/CONCURRENCY_RISK_MATRIX_CURRENT.csv; Docs/PHYSICAL_PERFORMANCE_QA_PLAN_CURRENT.md",10,yes,no,yes,no,EXECUTED_CURRENT
commands_for_cursor/11-DIR_DIVING_LOCALIZATION_ACCESSIBILITY_AUDIT_V3.0.md,11-DIR_DIVING_LOCALIZATION_ACCESSIBILITY_AUDIT_V3.0.md,11,Localization accessibility,3.0,main,audit-only,"Docs/LOCALIZATION_ACCESSIBILITY_AUDIT_CURRENT.md; Docs/LOCALIZATION_KEY_INVENTORY_CURRENT.csv; Docs/ACCESSIBILITY_SCREEN_MATRIX_CURRENT.csv; Docs/TERMINOLOGY_GLOSSARY_IT_EN_CURRENT.md",11,yes,no,yes,no,EXECUTED_CURRENT
commands_for_cursor/12-DIR_DIVING_TEST_QA_EVIDENCE_AUDIT_V3.0.md,12-DIR_DIVING_TEST_QA_EVIDENCE_AUDIT_V3.0.md,12,Test QA evidence,3.0,main,audit-only,"Docs/TEST_QA_EVIDENCE_AUDIT_CURRENT.md; Docs/REQUIREMENT_TEST_TRACEABILITY_MATRIX_CURRENT.csv; Docs/PHYSICAL_DEVICE_QA_MATRIX_CURRENT.csv; Docs/EXTERNAL_VALIDATION_GAPS_CURRENT.md; Docs/READINESS_TO_100_PLAN_CURRENT.md",12,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/13-DIR_DIVING_RELEASE_LEGAL_CLAIMS_COMPLIANCE_AUDIT_V3.0.md,13-DIR_DIVING_RELEASE_LEGAL_CLAIMS_COMPLIANCE_AUDIT_V3.0.md,13,Release legal claims compliance,3.0,main,audit-only,"Docs/RELEASE_LEGAL_CLAIMS_COMPLIANCE_AUDIT_CURRENT.md; Docs/CLAIMS_EVIDENCE_MATRIX_CURRENT.csv; Docs/RELEASE_GATE_MATRIX_CURRENT.csv; Docs/APP_STORE_TESTFLIGHT_BLOCKERS_CURRENT.md",13,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/14-DIR_DIVING_MOCKUP_VISUAL_REGRESSION_AUDIT_V3.0.md,14-DIR_DIVING_MOCKUP_VISUAL_REGRESSION_AUDIT_V3.0.md,14,Mockup visual regression,3.0,main,audit-only,"Docs/MOCKUP_VISUAL_REGRESSION_AUDIT_CURRENT.md; Docs/MOCKUP_PATH_VALIDATION_CURRENT.csv; Docs/MOCKUP_IMPLEMENTATION_MATRIX_CURRENT.csv; Docs/VISUAL_REGRESSION_COVERAGE_MATRIX_CURRENT.csv; Docs/UI_UX_REMEDIATION_PLAN_CURRENT.md",14,yes,no,yes,no,EXECUTED_CURRENT
commands_for_cursor/16-DIR_DIVING_COMPLETE_UI_UX_IMPLEMENTATION_COHERENCE_AUDIT_V1.0.md,16-DIR_DIVING_COMPLETE_UI_UX_IMPLEMENTATION_COHERENCE_AUDIT_V1.0.md,16,Complete UI UX implementation coherence,1.0,main,audit-only,"Docs/COMPLETE_UI_UX_IMPLEMENTATION_COHERENCE_AUDIT_CURRENT.md; Docs/UI_UX_FEATURE_IMPLEMENTATION_MATRIX_CURRENT.csv; Docs/UI_UX_NAVIGATION_REACHABILITY_MATRIX_CURRENT.csv; Docs/UI_UX_STATE_COMPLETENESS_MATRIX_CURRENT.csv; Docs/UI_UX_CROSS_PLATFORM_PARITY_MATRIX_CURRENT.csv; Docs/UI_UX_REGRESSION_RISK_MATRIX_CURRENT.csv; Docs/UI_UX_GAP_REMEDIATION_PLAN_CURRENT.md",16,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/OLD/0-DIR_DIVING_IOS_COMPLETE_MATH_FUNCTIONS_AUDIT_CCR_UPDATED_V2.0.md,0-DIR_DIVING_IOS_COMPLETE_MATH_FUNCTIONS_AUDIT_CCR_UPDATED_V2.0.md,0,iOS complete mathematical functions,2.0,main,audit-only,Legacy V2 outputs,0,yes,no,yes,yes,SKIPPED_SUPERSEDED_BY_V3
commands_for_cursor/OLD/1-DIR_DIVING_IOS_BUHLMANN_COMPREHENSIVE_READINESS_AUDIT_CCR_UPDATED_V2.0.md,1-DIR_DIVING_IOS_BUHLMANN_COMPREHENSIVE_READINESS_AUDIT_CCR_UPDATED_V2.0.md,1,iOS Bühlmann comprehensive readiness,2.0,main,audit-only,Legacy V2 outputs,1,yes,no,yes,yes,SKIPPED_SUPERSEDED_BY_V3
commands_for_cursor/OLD/2-DIR_DIVING_WATCH_COMPLETE_ALGORITHM_AUDIT_CCR_UPDATED_V2.0.md,2-DIR_DIVING_WATCH_COMPLETE_ALGORITHM_AUDIT_CCR_UPDATED_V2.0.md,2,Watch algorithm safety runtime,2.0,main,audit-only,Legacy V2 outputs,2,yes,no,yes,yes,SKIPPED_SUPERSEDED_BY_V3
commands_for_cursor/OLD/3-DIR_DIVING_IOS_COMPLETE_ALGORITHM_AUDIT_CCR_UPDATED_V2.0.md,3-DIR_DIVING_IOS_COMPLETE_ALGORITHM_AUDIT_CCR_UPDATED_V2.0.md,3,iOS complete algorithm planner data,2.0,main,audit-only,Legacy V2 outputs,3,yes,no,yes,yes,SKIPPED_SUPERSEDED_BY_V3
commands_for_cursor/OLD/4-DIR_DIVING_UI_UX_AUDIT_CCR_UPDATED_V2.0.md,4-DIR_DIVING_UI_UX_AUDIT_CCR_UPDATED_V2.0.md,4,UI UX readiness,2.0,main,audit-only,Legacy V2 outputs,4,yes,no,yes,no,SKIPPED_SUPERSEDED_BY_V3
commands_for_cursor/OLD/5-DIR_DIVING_MAIN_DEEP_CODE_ANALYSIS_COMMAND_CCR_UPDATED_V2.0.md,5-DIR_DIVING_MAIN_DEEP_CODE_ANALYSIS_COMMAND_CCR_UPDATED_V2.0.md,5,Deep code bug performance security,2.0,main,audit-only,Legacy V2 outputs,5,yes,no,yes,yes,SKIPPED_SUPERSEDED_BY_V3
commands_for_cursor/OLD/6-DIR_DIVING_GIT_DOCUMENTATION_ALIGNMENT_COMMAND_CCR_UPDATED_V2.0.md,6-DIR_DIVING_GIT_DOCUMENTATION_ALIGNMENT_COMMAND_CCR_UPDATED_V2.0.md,6,Git documentation alignment,2.0,main,audit-only,Legacy V2 outputs,6,yes,no,no,no,SKIPPED_SUPERSEDED_BY_V3
commands_for_cursor/README.md,README.md,,Command-set metadata,3.0,main,metadata,None,metadata,yes,no,no,no,SKIPPED_METADATA
commands_for_cursor/RUN_SEQUENCE_V3.0.md,RUN_SEQUENCE_V3.0.md,,Run-sequence metadata,3.0,main,metadata,None,metadata,yes,no,no,no,SKIPPED_METADATA
