Finding_ID,Title,Original_Severity,Original_Status,Software_Action_Taken,Files_Changed,Tests_Added_Or_Updated,Docs_Updated,Scripts_Added_Or_Updated,New_Status,Software_Readiness_Impact,Physical_QA_Status,External_Validation_Status,Legal_Review_Status,Acceptance_Evidence,Notes
CONS-027,PlannerStore lifecycle tasks not cancelled on deinit,P2,OPEN,deinit cancels planningUpdateTask and saveTask,iOSApp/Services/PlannerStore.swift,PerformanceConcurrencyBatteryRemediationTests lane,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Code review deinit cancellation,Prevents stale planner work after navigation away
CONS-028,iOS navigation state restoration after process death,P3,OPEN,Not remediated in this consolidated wave,IOSCompanionNavigationPersistence.swift,,,,OPEN,95,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Prior wave partial persistence exists,Future Batch-3 scope; not internal-TF software blocker
CONS-029,iCloud two-device tombstone merge not field-tested,P2,PENDING_PHYSICAL,No fake evidence; ICLOUD_TWO_DEVICE template retained,Docs/QA_EVIDENCE/ICLOUD_TWO_DEVICE/*,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Software merge tests PASS
CONS-030,Subsurface CSV external round-trip not validated,P2,PENDING_EXTERNAL_VALIDATION,No fake evidence; Subsurface template retained,Docs/QA_EVIDENCE/SUBSURFACE_CSV/*; SUBSURFACE_EXTERNAL/*,,,,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Malformed import fail-closed OK
CONS-031,Snorkeling field GPS accuracy and battery not validated,P2,PENDING_PHYSICAL,No fake evidence; Snorkeling GPS template retained,Docs/QA_EVIDENCE/SNORKELING_GPS/*,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Software sync PASS
CONS-032,Physical pixel-diff baselines absent 0/59 mockups,P2,PENDING_PHYSICAL,No fake pixel evidence; capture templates retained,Docs/QA_EVIDENCE/MANUAL_VISUAL_FIDELITY/*; PIXEL_DIFF templates,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Structural visual PASS only
CONS-033,CCR external validation UX reference-only pending,P2,PENDING_EXTERNAL_VALIDATION,Reference-only CCR copy preserved; no controller claim,iOS Planner CCR views,,,,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Reference-only UX review template,Not a software defect
CONS-034,Documentation INDEX README feature matrix drift,P2,FIXED_SOFTWARE,INDEX 2026-06-28 wave section added; consolidated remediation docs indexed,Docs/INDEX.md; README.md,,MASTER_CONSOLIDATED_* deliverables,validate_consolidated_software_readiness.sh,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,README/feature matrix refresh optional post audit re-run,CONS-001 repair + Command 10 INDEX section
CONS-035,FullComputerDecoStopMachineInput deltaSeconds unused,P3,OPEN,Not remediated — presentation uses modelRemainingMinutes,FullComputerDecoStopStateMachine.swift,,,,OPEN,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Stop FSM tests PASS,Maintainability only
CONS-036,Logbook environment provenance may mislabel sensor source,P3,OPEN,Not remediated this wave,FullComputerEnvironmentRecord.swift,,,,OPEN,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Primary runtime path fixed previously,Export metadata accuracy gap
CONS-037,Watch FC Services glob target membership implicit,P3,OPEN,project.yml touched for remediation; explicit listing deferred,project.yml,,,,OPEN,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Glob currently includes Services/,Low build risk today
CONS-038,FullComputerImportedPlanStoreTests GF assertion order drift,P3,OPEN,Updated test fixtures/assertions for GF validation order,Tests/WatchAlgorithmTests/FullComputerImportedPlanStoreTests.swift,FullComputerImportedPlanStoreTests,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Test repair linked to CONS-002,Production fail-closed behavior correct
CONS-039,Apnea iCloud backup intentionally stubbed,P3,DOCUMENTED_ACCEPTED_RISK,Preserved per plan — no fake iCloud backup,IOSApneaLogbookStore.swift,ApneaCloudBackupStubTruthfulnessTests,,,DOCUMENTED_ACCEPTED_RISK,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Accepted-risk disclosure tests,By design
CONS-040,iOS Diving settings dual binding MoreView vs store,P3,OPEN,Not remediated this wave,MoreView.swift; IOSDivingSettingsStore.swift,,,,OPEN,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Single-write-path refactor deferred,Maintainability
CONS-041,Logbook multigas tissue replay partial gas-switch history,P3,OPEN,Future work per LOGBOOK_TISSUE_REPLAY doc,TissueAnalyticsService.swift,,,,OPEN,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Single-gas replay OK today,Future multigas replay
CONS-042,Shallow depth wet QA and entitlement physical validation pending,P1,PENDING_PHYSICAL,No fake evidence; shallow depth matrices retained,MASTER_SHALLOW_DEPTH_RELEASE_GATE_MATRIX; SHALLOW_* QA_EVIDENCE,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Software gating PASS; wet QA required
CONS-043,GF preset matrix external Bühlmann spot-check pending,P2,PENDING_EXTERNAL_VALIDATION,No fake evidence; GF external spot-check deferred,MASTER_WATCH_FULL_COMPUTER_GF_PRESET_MATRIX_CURRENT.csv,,,,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Watch/iOS software preset parity achieved
CONS-044,Release legal marketing counsel sign-off pending,P1,PENDING_EXTERNAL_VALIDATION,No fake legal sign-off; legal review templates retained,Docs/QA_EVIDENCE/LEGAL_REVIEW/*; APP_STORE_MARKETING/*,,,,PENDING_LEGAL_REVIEW_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,validate_release_claims_against_evidence.sh PASS
CONS-045,Aggregate physical external QA matrices not executed,P2,PENDING_PHYSICAL,No fake evidence; all physical/external matrices remain NOT_EXECUTED,Docs/QA_EVIDENCE/** templates,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Meta-finding — 0% field execution,Tracks evidence gap honestly
