Consolidated_Finding_ID,Original_Severity,Original_Status,Title,Remediation_Status,Claimed_New_Status,Expected_Status,Files_Changed,Tests_Evidence,Docs_Evidence,Scripts_Evidence,Physical_QA_Status,External_Validation_Status,Legal_Status,Verification_Result,Reason,Regression_Risk,Notes
CONS-012,P1,PENDING_PHYSICAL,Accessibility manual QA pending VoiceOver Dynamic Type,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/ACCESSIBILITY_MANUAL_QA_TEMPLATE.md; IOS_ACCESSIBILITY/*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Contract scripts PASS; device matrix not run,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-013,P1,PENDING_PHYSICAL,PDF render and release marketing evidence pending,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/PDF_PHYSICAL_RENDER_QA_TEMPLATE.md; PDF_RENDER/*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Blocks App Store asset gate,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-014,P2,VERIFIED,Build test evidence at HEAD partial Watch suite,VERIFIED,VERIFIED,VERIFIED,xcodebuild remediation lanes,DivePlanPackageBuilderTests; PlannerGFPresetDisplayTests,MASTER_CONSOLIDATED_SOFTWARE_REMEDIATION_TEST_EVIDENCE_CURRENT.md,validate_consolidated_software_readiness.sh,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Full Watch algorithm target compile errors are test-maintenance only,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-015,P2,PARTIAL,Altitude multilevel oracle replay 500-2000m incomplete,PARTIAL_SOFTWARE_PENDING_EXTERNAL,PARTIAL_SOFTWARE_PENDING_EXTERNAL,PARTIAL_SOFTWARE_PENDING_EXTERNAL,Tests/WatchAlgorithmTests/OrchestratedAltitudeEnvironmentTests,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_EXTERNAL,High-altitude field/external validation still required,Medium,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-016,P2,DOCUMENTED_LIMITATION,TTS forward schedule uses 1-minute quantization steps,DOCUMENTED_LIMITATION,DOCUMENTED_LIMITATION,DOCUMENTED_LIMITATION,BuhlmannEngine.runtimeProjection,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Conservative direction — not a safety bypass,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-017,P2,FIXED_SOFTWARE,Watch algorithm test suite 2 non-FC failures,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Tests/WatchAlgorithmTests/DIRModesAndStartupFlowTests.swift,DIRModesAndStartupFlowTests,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Compile fix for predive store helpers still pending in dirty tree,,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-018,P2,FIXED_SOFTWARE,DIRModesAndStartupFlowTests drift from water auto-open routing,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Tests/WatchAlgorithmTests/DIRModesAndStartupFlowTests.swift,DIRModesAndStartupFlowTests,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Not an FC math defect,DG-WAO-002,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-019,P2,FIXED_SOFTWARE,Water auto-open FC routing skips DepthCapabilityPolicy gate,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Utils/DIRStartupSelectionPolicy.swift,,WatchWaterAutoOpenPolicyTests lane,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Shallow-only hardware routed to gauge or mode selection,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-020,P2,DOCUMENTED_LIMITATION,WatchSubmersionLaunchProbe 400ms timeout cold launch risk,DOCUMENTED_LIMITATION,DOCUMENTED_LIMITATION,DOCUMENTED_LIMITATION,Utils/WatchSubmersionLaunchProbe.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Reachability gap — not a policy bypass,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-021,P1,PENDING_PHYSICAL,Water auto-open end-to-end physical QA pending,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/WATCH_WATER_AUTO_OPEN_*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Software policy PASS @ remediation,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-022,P1,PENDING_PHYSICAL,Underwater Crown Action Button physical QA pending,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/WATCH_UNDERWATER_FAST_CONTROLS_*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Software router policy PASS,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-023,P2,PENDING_PHYSICAL,Field battery thermal long-session FC performance unverified,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/PHYSICAL_PERFORMANCE_QA_PLAN_CURRENT.md,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Simulator timing budgets PASS only,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-024,P2,PENDING_PHYSICAL,Paired sync large payload load not profiled on hardware,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/WATCH_IOS_SYNC/*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Large payload codec tests PASS,,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-025,P2,PENDING_PHYSICAL,iOS logbook scroll latency at session cap unmeasured,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,iOSApp logbook views,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Synthetic decode PASS not UI profiling,,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-026,P2,PENDING_PHYSICAL,Snorkeling long-route map frame rate unmeasured device,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Snorkeling map presentation,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Downsampling wired in software,,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-027,P2,FIXED_SOFTWARE,PlannerStore lifecycle tasks not cancelled on deinit,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,iOSApp/Services/PlannerStore.swift,PerformanceConcurrencyBatteryRemediationTests lane,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Prevents stale planner work after navigation away,,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-028,P3,OPEN,iOS navigation state restoration after process death,OPEN,OPEN,OPEN,IOSCompanionNavigationPersistence.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,OPEN,Future Batch-3 scope; not internal-TF software blocker,Medium,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-029,P2,PENDING_PHYSICAL,iCloud two-device tombstone merge not field-tested,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/ICLOUD_TWO_DEVICE/*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Software merge tests PASS,Medium,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-030,P2,PENDING_EXTERNAL_VALIDATION,Subsurface CSV external round-trip not validated,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,PENDING_EXTERNAL_VALIDATION,Docs/QA_EVIDENCE/SUBSURFACE_CSV/*; SUBSURFACE_EXTERNAL/*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_EXTERNAL,Malformed import fail-closed OK,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-031,P2,PENDING_PHYSICAL,Snorkeling field GPS accuracy and battery not validated,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/SNORKELING_GPS/*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Software sync PASS,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-032,P2,PENDING_PHYSICAL,Physical pixel-diff baselines absent 0/59 mockups,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/MANUAL_VISUAL_FIDELITY/*; PIXEL_DIFF templates,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Structural visual PASS only,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-033,P2,PENDING_EXTERNAL_VALIDATION,CCR external validation UX reference-only pending,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,PENDING_EXTERNAL_VALIDATION,iOS Planner CCR views,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_EXTERNAL,Not a software defect,None,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-034,P2,FIXED_SOFTWARE,Documentation INDEX README feature matrix drift,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Docs/INDEX.md; README.md,,MASTER_CONSOLIDATED_* deliverables,validate_consolidated_software_readiness.sh,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,CONS-001 repair + Command 10 INDEX section,Medium,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-035,P3,OPEN,FullComputerDecoStopMachineInput deltaSeconds unused,OPEN,OPEN,OPEN,FullComputerDecoStopStateMachine.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,OPEN,Maintainability only,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-036,P3,OPEN,Logbook environment provenance may mislabel sensor source,OPEN,OPEN,OPEN,FullComputerEnvironmentRecord.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,OPEN,Export metadata accuracy gap,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-037,P3,OPEN,Watch FC Services glob target membership implicit,OPEN,OPEN,OPEN,project.yml,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,OPEN,Low build risk today,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-038,P3,FIXED_SOFTWARE,FullComputerImportedPlanStoreTests GF assertion order drift,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Tests/WatchAlgorithmTests/FullComputerImportedPlanStoreTests.swift,FullComputerImportedPlanStoreTests,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Production fail-closed behavior correct,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-039,P3,DOCUMENTED_ACCEPTED_RISK,Apnea iCloud backup intentionally stubbed,DOCUMENTED_ACCEPTED_RISK,DOCUMENTED_ACCEPTED_RISK,DOCUMENTED_ACCEPTED_RISK,IOSApneaLogbookStore.swift,ApneaCloudBackupStubTruthfulnessTests,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,By design,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-040,P3,OPEN,iOS Diving settings dual binding MoreView vs store,OPEN,OPEN,OPEN,MoreView.swift; IOSDivingSettingsStore.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,OPEN,Maintainability,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-041,P3,OPEN,Logbook multigas tissue replay partial gas-switch history,OPEN,OPEN,OPEN,TissueAnalyticsService.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,OPEN,Future multigas replay,Medium,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-042,P1,PENDING_PHYSICAL,Shallow depth wet QA and entitlement physical validation pending,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,MASTER_SHALLOW_DEPTH_RELEASE_GATE_MATRIX; SHALLOW_* QA_EVIDENCE,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Software gating PASS; wet QA required,Medium,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-043,P2,PENDING_EXTERNAL_VALIDATION,GF preset matrix external Bühlmann spot-check pending,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,PENDING_EXTERNAL_VALIDATION,MASTER_WATCH_FULL_COMPUTER_GF_PRESET_MATRIX_CURRENT.csv,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_EXTERNAL,Watch/iOS software preset parity achieved,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-044,P1,PENDING_EXTERNAL_VALIDATION,Release legal marketing counsel sign-off pending,PENDING_LEGAL_REVIEW_WITH_TEMPLATE,PENDING_LEGAL_REVIEW_WITH_TEMPLATE,PENDING_EXTERNAL_VALIDATION,Docs/QA_EVIDENCE/LEGAL_REVIEW/*; APP_STORE_MARKETING/*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_LEGAL,validate_release_claims_against_evidence.sh PASS,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-045,P2,PENDING_PHYSICAL,Aggregate physical external QA matrices not executed,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/** templates,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Tracks evidence gap honestly,None,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-046,P1,FIXED_SOFTWARE,validate_commands_for_cursor_integrity.sh V1.5 alignment,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Scripts/validate_commands_for_cursor_integrity.sh,Script PASS @48f8af2,MASTER_CONSOLIDATED_AUDIT @2c30412,validate_commands PASS,No,N/A,Script PASS @V1.5 paths,PASS,Aligned to V2.2/V1.2/V2.3/V1.5 @6a0005b; verified audit 07 @48f8af2,Low,CLOSED
CONS-047,P2,VERIFIED,Master audits 01-06 STALE vs Snorkeling P1/P2/P3,VERIFIED,VERIFIED,VERIFIED,Docs/MASTER_*_AUDIT_CURRENT.md @ 451f8fb,01-06 rerun complete 2026-06-30,MASTER_CONSOLIDATED_AUDIT @ 451f8fb,,No,N/A,All six audits refreshed @ 451f8fb with Snorkeling scope,PASS,CONS-047 closed — fresh audits 01-06 @ 451f8fb,Low,Surfaced IOS-P1-001 / CONS-049 in audit 02
CONS-048,P1,PENDING_PHYSICAL,Snorkeling P1/P2/P3 physical QA 12 templates PENDING,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,PENDING_PHYSICAL,Docs/QA_EVIDENCE/SNORKELING_* (12 folders @ dbe5d8b),14 Snorkeling test files PASS (software); field NOT_EXECUTED,MASTER_CONSOLIDATED_AUDIT @ 451f8fb,,PENDING_PHYSICAL,12/12 folders PASS with tester device artifacts,N/A,PENDING_PHYSICAL,12 QA templates default PENDING; no signed field artifacts,Low,Do not claim physical PASS
CONS-049,P1,FIXED_SOFTWARE,iOS Algorithm Tests Snorkeling compile failure,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Tests/iOSAlgorithmTests/Snorkeling*.swift,1655/1655 PASS @48f8af2,MASTER_IOS_FULL_DEEP @2c30412,,No,N/A,iOS Algorithm Tests BUILD+TEST SUCCEEDED,PASS,Snorkeling test ambiguity resolved @7a429a7; full suite green audit 07,Medium,CLOSED
CONS-050,P2,FIXED_SOFTWARE,Water auto-open routing test drift after Apnea P1/P2/P3,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Tests/WatchAlgorithmTests/WatchRoutingTestSupport.swift; Shared/Utils/SnorkelingRouteProgressCalculator.swift,1152/1152 PASS @48f8af2,R09_WAO_ROUTING_TEST_ALIGNMENT_REMEDIATION_REPORT_CURRENT.md,validate_commands PASS,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Test harness aligned; snorkeling progress bug fixed; production WAO unchanged,Low,R09 @cc0efc6; audit 07 @48f8af2
CONS-053,P0,FIXED_DOCUMENTATION,P0 legacy documentation false release claims,FIXED_DOCUMENTATION,FIXED_DOCUMENTATION,FIXED_DOCUMENTATION,WATCH_LOW_POWER_MISSION_MODE_IMPLEMENTATION_REPORT.md; DOCUMENTATION_UPDATE_REPORT_20260609.md,N/A doc-only,R09 report,validate_no_fake_* PASS,No,N/A,No App Store ready claims in repaired docs,PASS,Superseded headers + demoted false CCR/App Store claims @R09,Low,Physical/external gates still PENDING
CONS-054,P2,FIXED_SOFTWARE,INDEX README baseline stale vs HEAD,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Docs/INDEX.md; README.md; Docs/README.md,Audit 07 INDEX refresh @48f8af2,MASTER_POST_REMEDIATION_FINAL_VERDICT_CURRENT.md,,No,N/A,INDEX baseline matches HEAD,PASS,PARTIAL orchestrator truth preserved; no false 100% aggregate readiness,Low,R09 README + audit 07 INDEX
