Mockup_ID,Path,Platform,Activity,Mode,Screen,Preview_Fixture,Snapshot_Test,Coverage_Level,Pixel_Baseline,Accessibility,Localization,Readiness_Percent,Finding_ID,Notes
MOCK-015,mockups/Apple_Watch/SNORKELING_WATCH_07_SESSION_SUMMARY.png,Watch,Snorkeling,Snorkeling,SNORKELING_WATCH_07_SESSION_SUMMARY,SnorkelingMockupReferenceMatrixTests,SnorkelingMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-016,mockups/FC_UI_01_ACTIVITY_SELECTION.png,Watch,Diving,Diving,FC_UI_01_ACTIVITY_SELECTION,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-017,mockups/FC_UI_02_DIVING_MODE_SELECTION.png,Watch,Diving,Diving,FC_UI_02_DIVING_MODE_SELECTION,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-018,mockups/FC_UI_03_FULL_COMPUTER_PREDIVE_CONFIRMATION.png,Watch,Diving,Full Computer,FC_UI_03_FULL_COMPUTER_PREDIVE_CONFIRMATION,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-019,mockups/FC_UI_04_SETTINGS_ACTIVITY_DEFAULT.png,Watch,Diving,Diving,FC_UI_04_SETTINGS_ACTIVITY_DEFAULT,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-020,mockups/FC_UI_05_SETTINGS_DIVING_MODE_AND_TTV.png,Watch,Diving,Gauge,FC_UI_05_SETTINGS_DIVING_MODE_AND_TTV,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-021,mockups/FC_UI_06_PREDIVE_GAS_CONFIGURATION.png,Watch,Diving,Diving,FC_UI_06_PREDIVE_GAS_CONFIGURATION,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-022,mockups/FC_UI_07_IOS_DECO_PLAN_TRANSFER.png,Watch,Diving,Diving,FC_UI_07_IOS_DECO_PLAN_TRANSFER,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-023,mockups/FC_UI_08_DECO_GAS_LIST.png,Watch,Diving,Diving,FC_UI_08_DECO_GAS_LIST,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-024,mockups/FC_UI_09_GAS_SWITCH_AVAILABLE.png,Watch,Diving,Diving,FC_UI_09_GAS_SWITCH_AVAILABLE,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-025,mockups/FC_UI_10_GAS_SWITCH_MISSED.png,Watch,Diving,Diving,FC_UI_10_GAS_SWITCH_MISSED,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-026,mockups/FC_UI_11_NDL_GREEN.png,Watch,Diving,Diving,FC_UI_11_NDL_GREEN,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-027,mockups/FC_UI_12_NDL_YELLOW_10_MIN.png,Watch,Diving,Diving,FC_UI_12_NDL_YELLOW_10_MIN,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-028,mockups/FC_UI_13_NDL_RED_5_MIN.png,Watch,Diving,Diving,FC_UI_13_NDL_RED_5_MIN,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-029,mockups/FC_UI_14_DECO_APPROACH_STOP.png,Watch,Diving,Diving,FC_UI_14_DECO_APPROACH_STOP,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-030,mockups/FC_UI_15_CEILING_VIOLATION.png,Watch,Diving,Diving,FC_UI_15_CEILING_VIOLATION,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-031,mockups/FC_UI_16_DECO_HOLD_GREEN.png,Watch,Diving,Diving,FC_UI_16_DECO_HOLD_GREEN,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-032,mockups/FC_UI_17_DECO_HOLD_GREEN_LEFT_ARROW.png,Watch,Diving,Diving,FC_UI_17_DECO_HOLD_GREEN_LEFT_ARROW,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-033,mockups/FC_UI_18_TOO_DEEP_ASCEND_TO_STOP.png,Watch,Diving,Diving,FC_UI_18_TOO_DEEP_ASCEND_TO_STOP,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-034,mockups/FC_UI_19_TOO_SHALLOW_DESCEND_TO_STOP.png,Watch,Diving,Diving,FC_UI_19_TOO_SHALLOW_DESCEND_TO_STOP,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-035,mockups/FC_UI_20_DECO_COMPLETED.png,Watch,Diving,Diving,FC_UI_20_DECO_COMPLETED,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-036,mockups/FC_UI_21_DECO_COMPLETED_ALT.png,Watch,Diving,Diving,FC_UI_21_DECO_COMPLETED_ALT,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-037,mockups/FC_UI_22_FULL_DECO_SCREEN_REFERENCE.png,Watch,Diving,Full Computer,FC_UI_22_FULL_DECO_SCREEN_REFERENCE,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-038,mockups/FC_UI_23_NO_DECO_WITH_CONTROLS.png,Watch,Diving,Diving,FC_UI_23_NO_DECO_WITH_CONTROLS,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-039,mockups/FC_UI_24_DECO_WITH_STOP_TABLE.png,Watch,Diving,Diving,FC_UI_24_DECO_WITH_STOP_TABLE,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-040,mockups/FC_UI_25_DECO_WITH_PROGRESS_PANEL.png,Watch,Diving,Diving,FC_UI_25_DECO_WITH_PROGRESS_PANEL,WatchSettingsMockupFixtures,FullComputerMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-041,mockups/IOS_COMPANION_ACTIVITY_SELECTION_POST_ONBOARDING.png,iOS,Global,Unknown,IOS_COMPANION_ACTIVITY_SELECTION_POST_ONBOARDING,partial,partial,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-042,mockups/iOS/APNEA_IOS_01_DASHBOARD.png,iOS,Apnea,Apnea,APNEA_IOS_01_DASHBOARD,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-043,mockups/iOS/APNEA_IOS_02_PROFILES.png,iOS,Apnea,Apnea,APNEA_IOS_02_PROFILES,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-044,mockups/iOS/APNEA_IOS_03_SESSION_PLANNER.png,iOS,Apnea,Apnea,APNEA_IOS_03_SESSION_PLANNER,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-045,mockups/iOS/APNEA_IOS_04_DIVE_DETAIL.png,iOS,Apnea,Apnea,APNEA_IOS_04_DIVE_DETAIL,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-046,mockups/iOS/APNEA_IOS_05_SESSION_CHARTS.png,iOS,Apnea,Apnea,APNEA_IOS_05_SESSION_CHARTS,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-047,mockups/iOS/APNEA_IOS_06_STATISTICS.png,iOS,Apnea,Apnea,APNEA_IOS_06_STATISTICS,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-048,mockups/iOS/APNEA_IOS_07_EQUIPMENT.png,iOS,Apnea,Apnea,APNEA_IOS_07_EQUIPMENT,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-049,mockups/iOS/APNEA_IOS_08_BUDDY_SAFETY.png,iOS,Apnea,Apnea,APNEA_IOS_08_BUDDY_SAFETY,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-050,mockups/iOS/APNEA_IOS_09_SESSION_MAP.png,iOS,Apnea,Apnea,APNEA_IOS_09_SESSION_MAP,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-051,mockups/iOS/APNEA_IOS_10_LOGBOOK.png,iOS,Apnea,Apnea,APNEA_IOS_10_LOGBOOK,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-052,mockups/iOS/APNEA_IOS_11_ALARMS.png,iOS,Apnea,Apnea,APNEA_IOS_11_ALARMS,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-053,mockups/iOS/APNEA_IOS_12_MARKERS.png,iOS,Apnea,Apnea,APNEA_IOS_12_MARKERS,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-054,mockups/iOS/APNEA_IOS_13_PERSONAL_RECORDS.png,iOS,Apnea,Apnea,APNEA_IOS_13_PERSONAL_RECORDS,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-055,mockups/iOS/APNEA_IOS_14_EXPORT_SHARE.png,iOS,Apnea,Apnea,APNEA_IOS_14_EXPORT_SHARE,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-056,mockups/iOS/APNEA_IOS_15_SETTINGS.png,iOS,Apnea,Apnea,APNEA_IOS_15_SETTINGS,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-057,mockups/iOS/SNORKELING_IOS_01_DASHBOARD.png,iOS,Snorkeling,Snorkeling,SNORKELING_IOS_01_DASHBOARD,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-058,mockups/iOS/SNORKELING_IOS_02_ROUTE_PLANNER.png,iOS,Snorkeling,Snorkeling,SNORKELING_IOS_02_ROUTE_PLANNER,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-059,mockups/iOS/SNORKELING_IOS_03_SESSION_DETAIL.png,iOS,Snorkeling,Snorkeling,SNORKELING_IOS_03_SESSION_DETAIL,IOSMockupSnapshotContracts,IOSMockupRasterSnapshotTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
