Finding_ID,Original_Severity,Original_Status,Current_Status,Root_Cause,Affected_Platform,Affected_Area,Affected_Files,Production_Code_Changed,Tests_Changed,Scripts_Changed,Documentation_Changed,Fix_or_Mitigation,Acceptance_Criteria,Validation_Command,Validation_Result,Evidence,Residual_Risk,Accepted_Risk_Owner,Physical_QA_Required,External_Validation_Required,Notes
MAIN-DCA-017,LOW,FIXED,VERIFIED_CLOSED,Force unwrap headers,iOS,Stability,iOSApp/Services/PlannerAscentTableBuilder.swift,No,Yes,No,Yes,Safe optional handling,No force unwrap,PlannerAscentTableTests,PASS,Tests,None,Engineering,No,No,
MAIN-DCA-018,INFO,PENDING,PENDING_PHYSICAL_QA,Physical QA not executed,Both,QA,Docs/QA_EVIDENCE/,No,No,No,Yes,Evidence templates only,No fabricated evidence,Manual QA matrices,PENDING,None,External gate,Product,Yes,Yes,
MAIN-DCA-019,HIGH,FIXED,VERIFIED_CLOSED,Delete ACK when inactive,Watch,Sync,Utils/PendingPhotoManagementResponseQueue.swift,No,Yes,No,Yes,Durable ACK queue,Queue survives restart,MainDeepCodeReadinessCurrentWatchTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-020,MEDIUM,FIXED,VERIFIED_CLOSED,Briefing filename unsanitized,Watch,Security,Utils/PlannerBriefingFilenameSanitizer.swift,No,Yes,No,Yes,Path traversal rejection,../ rejected,MainDeepCodeReadinessCurrentWatchTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-021,MEDIUM,FIXED,VERIFIED_CLOSED,Non-atomic briefing swap,Watch,Briefing,Services/PlannerBriefingCardStore.swift,No,Yes,No,Yes,Atomic replaceItemAt,Partial failure safe,PlannerBriefingCardStoreTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-022,MEDIUM,FIXED,VERIFIED_CLOSED,Reminder suppression incomplete,Watch,Runtime,Utils/LiveDiveReminderSuppressionPolicy.swift,No,Yes,No,Yes,Aligned with safety banners,Critical depth suppresses,MainDeepCodeReadinessCurrentWatchTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-023,LOW,INFO,VERIFIED_CLOSED,Dead deco gas fallback,iOS,Planner,iOSApp/Utils/PlannerMODValidator.swift,No,Yes,No,Yes,Documented dead path,Not used in production,PlannerMODValidatorTests,PASS,Tests,None,Engineering,No,No,
MAIN-DCA-024,LOW,DOCUMENTED,DOCUMENTED_ACCEPTED_RISK,CCR 0.5m MOD slack,iOS,CCR,iOSApp/Utils/CCRMODTolerancePolicy.swift,No,Yes,No,Yes,Intentional CCR tolerance,UI/PDF agree,MainDeepCodeAnalysisRemediationV1Tests,PASS,Tests,Intentional policy,Engineering,No,Yes,
MAIN-DCA-025,HIGH,FIXED,VERIFIED_CLOSED,Aggregate KVS budget,Both,Cloud,Utils/CloudSyncBudgetPolicy.swift,No,Yes,No,Yes,Aggregate cap,Multi-key rejection,MainDeepCodeAnalysisRemediationV1Tests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-026,LOW,FIXED,VERIFIED_CLOSED,Success date before sync,iOS,Cloud,iOSApp/Services/CloudSyncStore.swift,No,Yes,No,Yes,Generation token delay,Success after window,MainDeepCodeAnalysisRemediationV1Tests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-027,MEDIUM,FIXED,VERIFIED_CLOSED,Legacy schema v1 window,Both,Security,Utils/WatchSyncSchemaV1Policy.swift,No,Yes,No,Yes,Deprecation date + protected op block,v1 blocked for sensitive ops,MainDeepCodeReadinessCurrentTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-028,LOW,FIXED,VERIFIED_CLOSED,gasLabel LWW only,iOS,Merge,iOSApp/Utils/DiveSessionMerge.swift,No,Yes,No,Yes,Authoritative label merge,Newer label kept,MainDeepCodeAnalysisRemediationV1Tests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-029,LOW,FIXED,VERIFIED_CLOSED,Duplicate queue sends,Watch,Sync,Utils/WatchSyncPendingFlushPolicy.swift,No,Yes,No,Yes,In-flight session IDs,No duplicate flush,MainDeepCodeReadinessCurrentWatchTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-030,LOW,FIXED,VERIFIED_CLOSED,Hardcoded Time axis,iOS,Localization,iOSApp/Views/TissueAnalyticsCharts.swift,No,Yes,No,Yes,Localized axis key,EN/IT key exists,MainDeepCodeAnalysisRemediationV1Tests,PASS,Tests,None,Engineering,No,No,
MAIN-DCA-031,INFO,FIXED,VERIFIED_CLOSED,Legacy Italian-as-key aliases,Both,Localization,Resources/*.strings,No,Yes,No,Yes,Removed unused aliases,No Swift references,audit_localization.sh,PASS,Script,None,Engineering,No,No,
MAIN-DCA-032,INFO,DOCUMENTED,DEFERRED_BY_PRODUCT_DECISION,Deferred reminder visibility,Watch,UX,Utils/LiveDiveReminderSuppressionPolicy.swift,No,Yes,No,Yes,Suppression closed; indicator deferred,No safety regression,MainDeepCodeReadinessCurrentTests,PASS,Tests,Product decision,Product,Yes,No,
IOS-ALG-005,MED,FIXED,VERIFIED_CLOSED,Apnea cloud stub,iOS,Apnea,iOSApp/Utils/ApneaCloudCapability.swift,No,Yes,No,Yes,EXPLICITLY unavailable,Truthful export UI,ApneaCloudBackupStubTruthfulnessTests,PASS,Tests,None,Engineering,No,No,
IOS-ALG-006,MED,FIXED,VERIFIED_CLOSED,Dual settings binding,iOS,Settings,iOSApp/Views/MoreView.swift,No,Yes,No,Yes,SharedIOSSettingsStore,Single binding,IOSCompleteAlgorithmAuditRemediationTests,PASS,Tests,None,Engineering,No,No,
IOS-ALG-007,MED,FIXED,VERIFIED_CLOSED,Keychain XCTSkip,iOS,Tests,Shared/Utils/ApneaSyncTestSupport.swift,No,Yes,No,Yes,DEBUG test hooks,0 skipped sync tests,ApneaSyncCodecTests,PASS,Tests,None,Engineering,No,No,
IOS-ALG-008,MED,FIXED,VERIFIED_CLOSED,Title inference,iOS,Checklist,iOSApp/Utils/ChecklistRoleMigration.swift,No,Yes,No,Yes,Typed gasRole,Migration tests,ChecklistTypedRoleMigrationTests,PASS,Tests,None,Engineering,No,No,
IOS-ALG-009,MED,FIXED,VERIFIED_CLOSED,PDF MOD asymmetry,iOS,PDF,iOSApp/Utils/MODPresentationPolicy.swift,No,Yes,No,Yes,Shared MOD policy,PDF aligns UI,MODPresentationPolicyTests,PASS,Tests,None,Engineering,Yes,No,
IOS-ALG-011,MED,FIXED,VERIFIED_CLOSED,Eager stores,iOS,Perf,iOSApp/Services/IOSCompanionStoreCoordinator.swift,No,Yes,No,Yes,Lazy activity bundles,Lifecycle tests,IOSCompanionStoreLifecycleTests,PASS,Tests,None,Engineering,No,No,
UIUX-002,MED,FIXED,VERIFIED_CLOSED,Snorkeling cloud toggle,iOS,Snorkeling,iOSApp/Utils/SnorkelingCloudCapability.swift,No,Yes,No,Yes,Status-only UI,No misleading toggle,SnorkelingCloudBackupTruthfulnessTests,PASS,Tests,None,Engineering,No,No,
UIUX-003-012,VAR,FIXED,VERIFIED_CLOSED,UI/UX software findings,Both,UI/UX,Multiple,No,Yes,Yes,Yes,Remediation bundle,UI/UX gate 100%,validate_ui_ux_main_readiness.sh,PASS,Script,None,Engineering,Yes,No,
WATCH-MATH-001,MED,FIXED,VERIFIED_CLOSED,Oracle gap,Watch,Math,Tests/WatchAlgorithmTests/Support/,No,Yes,Yes,Yes,Independent oracle,Second-by-second parity,Audit15Air39MultilevelProfileTests,PASS,Tests,None,Engineering,Yes,Yes,
WATCH-MATH-002,MED,FIXED,VERIFIED_CLOSED,Re-descent oracle,Watch,Math,Tests/WatchAlgorithmTests/,No,Yes,Yes,Yes,Redescent regression,Deco reappears,Audit15RedescentOracleTests,PASS,Tests,None,Engineering,Yes,Yes,
WATCH-MATH-007,LOW,FIXED,VERIFIED_CLOSED,Air 39 named test,Watch,Math,Tests/WatchAlgorithmTests/,No,Yes,Yes,Yes,Named Audit-15 profile,Multilevel regression,Audit15Air39MultilevelProfileTests,PASS,Tests,None,Engineering,Yes,Yes,
